Source,Publication Date,Title,finbert_compound,finbert_positive,finbert_negative,finbert_neutral
BBC,2023-09-20,UK interest rate decision set to be close call after inflation fall,-0.009162859991192818,0.02267335169017315,0.03183621168136597,0.9454904794692993
BBC,2023-09-13,UK inflation: Slowing food prices drive surprise fall,-0.3560982048511505,0.07012199610471725,0.42622020840644836,0.5036578178405762
BBC,2023-09-09,UK inflation forecast to be highest of advanced economies,-0.03877946734428406,0.053646769374608994,0.09242623299360275,0.853926956653595
BBC,2023-08-30,"Ankur Desai: Inflatables, inflation and interest rates",-0.13025717437267303,0.08924729377031326,0.2195044457912445,0.6912482380867004
BBC,2023-08-29,"Unemployment, GDP and inflation data will soon show us more about UK economy",0.47740912437438965,0.6565636396408081,0.17915450036525726,0.16428184509277344
BBC,2023-08-16,Why India's soaring food inflation is a global problem,0.006242845207452774,0.018268732354044914,0.01202588714659214,0.9697054028511047
BBC,2023-08-25,Inflation: Budget cooking class sees people ditch ready meals,-0.16320495307445526,0.04025770351290703,0.2034626454114914,0.7562795877456665
BBC,2023-08-16,US faces more interest rate rises to cool inflation,-0.017500272020697594,0.04263603314757347,0.060136303305625916,0.8972275853157043
BBC,2023-08-16,Inflation drops but businesses in Rugby are making tough choices,-0.0969608724117279,0.09525293856859207,0.19221380352973938,0.7125332355499268
BBC,2023-08-16,Inflation slows to 6.8% but flights and hotels keep prices high,0.6078320741653442,0.7341914176940918,0.12635935842990875,0.13944926857948303
BBC,2023-07-25,Inflation: How to have a wedding while keeping costs down,-0.012808036059141159,0.04736027494072914,0.0601683109998703,0.8924713730812073
BBC,2023-08-10,Inflation slows to 6.8% but further interest rate rise likely,-0.7960827946662903,0.026149297133088112,0.8222320675849915,0.15161865949630737
BBC,2023-08-08,US inflation ticks higher in July on housing costs,0.007843206636607647,0.017062095925211906,0.00921888928860426,0.97371906042099
BBC,2023-08-05,Cost of living: Beyond Meat hit as inflation squeezes shoppers,0.3728620409965515,0.41139182448387146,0.03852979093790054,0.5500783324241638
BBC,2023-08-01,Inflation: Should we trust the Bank of England's forecasts?,-0.03397566080093384,0.020269623026251793,0.05424528568983078,0.9254850745201111
BBC,2023-07-20,Food price inflation slows to lowest level this year - BRC,0.16367857158184052,0.18587404489517212,0.022195471450686455,0.7919304966926575
BBC,2023-07-26,Dorset Council goes £10m over budget as inflation hits,0.03664793819189072,0.058996617794036865,0.02234867960214615,0.9186546802520752
BBC,2023-07-19,Inflation: What is it and why does it affect the cost of living?,-0.03159938007593155,0.07960166037082672,0.11120104044675827,0.8091973066329956
BBC,2023-07-19,Inflation: Food firms say lower rates not enough to help with bills,-0.018131133168935776,0.029365740716457367,0.04749687388539314,0.9231374263763428
BBC,2023-07-18,Cost of Living: 'Inflation puts us in a difficult position',0.001182686653919518,0.05420128256082535,0.05301859602332115,0.892780065536499
BBC,2023-07-13,Interest rates: Big rise less likely after inflation surprise,0.4602288007736206,0.5620855093002319,0.10185671597719193,0.33605775237083435
BBC,2023-07-13,UK inflation falls to lowest in more than a year,-0.03594484552741051,0.039971973747015,0.0759168192744255,0.884111225605011
BBC,2023-07-13,Ocado boss claims worst of food inflation is over,0.10057082772254944,0.1148318499326706,0.01426102314144373,0.8709071278572083
BBC,2023-07-11,Public sector pay: Will rises for doctors and teachers cause inflation?,-0.2701282501220703,0.06726913899183273,0.33739739656448364,0.595333456993103
BBC,2023-11-15,US inflation rises at slowest pace in two years,0.17185501754283905,0.21076028048992157,0.03890528157353401,0.7503343820571899
BBC,2023-07-19,World Business Report: US inflation shows signs of cooling,0.02051733061671257,0.06779799610376358,0.04728066548705101,0.8849213123321533
BBC,2023-07-10,Record pay rises fuel fresh inflation fears,-0.25800806283950806,0.11486722528934479,0.37287530303001404,0.5122575163841248
BBC,2023-07-10,Bank of England: We must see job through to cut inflation,0.3431142568588257,0.4960053563117981,0.15289108455181122,0.3511035740375519
BBC,2023-06-22,Price inflation: Lumpy and sticky,0.2661324143409729,0.2948921024799347,0.028759699314832687,0.6763482093811035
BBC,2023-06-24,"PMQs: Bryant on Sunak's tax, inflation and debt record",0.77945476770401,0.8798969984054565,0.10044223815202713,0.019660750404000282
BBC,2023-06-21,"Sunday with Laura Kuenssberg: We've got to hold our nerve to cut inflation, Sunak says",-0.12621836364269257,0.06646277755498886,0.19268111884593964,0.7408560514450073
BBC,2023-06-21,Inflation could affect Sandwell Council restoration scheme,0.27415066957473755,0.5516553521156311,0.27750468254089355,0.17084001004695892
BBC,2023-06-20,Interest rates live: Interest rates hit 5% as Sunak admits inflation target is harder to hit,0.23225706815719604,0.30355846881866455,0.0713014155626297,0.6251400709152222
BBC,2023-06-16,Chris Mason: Rishi Sunak is in a bind over inflation,0.030713342130184174,0.05861569568514824,0.027902353554964066,0.9134819507598877
BBC,2023-06-14,Interest rate rise expected after UK inflation shock,-0.008988583460450172,0.023080503568053246,0.03206908702850342,0.9448504447937012
BBC,2023-06-14,Is Brexit behind the UK's inflation shock?,-0.035422831773757935,0.03805398568511009,0.07347681373357773,0.8884691596031189
BBC,2023-06-21,Is food inflation higher in Europe than in the UK?,0.13700923323631287,0.18684527277946472,0.049836043268442154,0.763318657875061
BBC,2023-06-21,Hunt: Mortgage relief schemes would make inflation worse,0.5341840982437134,0.6290070414543152,0.0948229730129242,0.27616995573043823
BBC,2023-06-13,Tesco sees early signs inflation is starting to ease,-0.006221779156476259,0.02207656018435955,0.028298338875174522,0.9496250748634338
BBC,2023-06-02,UK has no alternative to Bank interest rate rises to calm inflation - Hunt,-0.1336349993944168,0.14902783930301666,0.28266283869743347,0.5683093667030334
BBC,2023-05-26,US inflation at lowest since 2021 as fuel prices fall,0.03652086853981018,0.17054195702075958,0.1340210884809494,0.695436954498291
BBC,2023-06-05,"Immigration can help push down UK inflation, says IMF deputy",-0.06830110400915146,0.0571766160428524,0.12547771632671356,0.8173456192016602
BBC,2023-05-25,Mortgage rates rise after inflation surprise,-0.00528796948492527,0.016534142196178436,0.021822111681103706,0.9616437554359436
BBC,2023-05-24,HARDtalk: Mervyn King: Global growth and inflation,-0.275953471660614,0.10567229241132736,0.381625771522522,0.5127019286155701
BBC,2023-05-24,UK inflation: Food prices 'worryingly high' as sugar and milk soar,0.062354348599910736,0.15875908732414246,0.09640474617481232,0.7448360919952393
BBC,2023-05-20,Why is UK inflation higher than US and Germany?,0.19151639938354492,0.28001752495765686,0.08850112557411194,0.6314813494682312
BBC,2023-05-21,SNP on inflation: Rising prices a 'cost of greed crisis',0.20801952481269836,0.27597469091415405,0.06795515865087509,0.6560701727867126
BBC,2023-05-17,UK inflation live: UK inflation down to 8.7% but food bills still rising quickly,0.7124223113059998,0.7623089551925659,0.049886640161275864,0.18780440092086792
BBC,2023-05-23,Food price inflation dips for second month in a row,-0.2294064462184906,0.08974893391132355,0.31915536522865295,0.5910956859588623
BBC,2023-04-25,"NI economy: NI rate of inflation significantly below UK average, figures show",0.3526589870452881,0.38055846095085144,0.02789948508143425,0.5915420651435852
BBC,2023-04-20,"Nigeria's Muhammadu Buhari leaves legacy of kidnapping, inflation and debt",0.18255653977394104,0.36033403873443604,0.1777775138616562,0.4618883728981018
BBC,2023-04-20,Pentagon cash for universities and inflation fall,0.3688276708126068,0.39467161893844604,0.025843949988484383,0.5794844627380371
BBC,2023-05-12,US inflation below 5% for first time in two years,0.056702129542827606,0.07058369368314743,0.013881564140319824,0.9155347347259521
BBC,2023-05-24,Buying banknotes to survive Zimbabwe's sky-high inflation,0.0045370496809482574,0.022248364984989166,0.01771131530404091,0.9600403308868408
BBC,2023-04-26,UK inflation: Yate traders offer bargains as prices keep rising,-0.9235199093818665,0.02046024613082409,0.9439801573753357,0.03555964678525925
BBC,2023-04-19,Newspaper headlines: 'Inflation hammer blow' and Russian spy threat,0.01157377753406763,0.02798868715763092,0.016414910554885864,0.9555963277816772
BBC,2023-05-10,Inflation threatens Gwynedd food firm Welsh Lady preserves,-0.04768482223153114,0.039265792816877365,0.08695061504840851,0.8737835884094238
BBC,2023-04-19,UK inflation: Supermarkets say price rises will ease soon,-0.2833469808101654,0.0945490226149559,0.3778959810733795,0.527554988861084
BBC,2023-04-06,Inflation falls but food prices climb to 45 year high,0.03624315559864044,0.04721980169415474,0.010976645164191723,0.941803514957428
BBC,2023-04-13,"Pay rises above inflation would be a terrible mistake, says Hunt",0.013571783900260925,0.06330028921365738,0.049728505313396454,0.8869711756706238
BBC,2023-03-22,Below inflation pay award for most NI civil servants,0.0061883036978542805,0.04113437607884407,0.03494607284665108,0.9239194989204407
BBC,2023-03-22,Ulster fry Index: Breakfast prices soar due to inflation,0.010772459208965302,0.04224041476845741,0.03146795555949211,0.9262915849685669
BBC,2023-04-02,Tesco boss won't predict when food price inflation will ease,0.19368842244148254,0.491204172372818,0.29751574993133545,0.21128010749816895
BBC,2023-03-15,"Inflation to 'drop sharply' from summer, says Bank of England",-0.2685633897781372,0.04425196722149849,0.3128153681755066,0.6429327130317688
BBC,2023-03-22,UK interest rate raised to 4.25% after jump in inflation,0.36554017663002014,0.44752195477485657,0.08198177814483643,0.470496267080307
BBC,2023-03-13,Why is UK inflation higher than other countries?,0.7592664957046509,0.8361536860466003,0.07688722759485245,0.08695903420448303
BBC,2023-03-10,Inflation rise puts NI households and businesses under more pressure,0.2131710648536682,0.4063505530357361,0.19317950308322906,0.40046989917755127
BBC,2023-03-01,Inflation: Alcopops out and frozen berries in for cost of living measure,-0.009502249769866467,0.022841161116957664,0.032343409955501556,0.9448153972625732
BBC,2023-04-05,Winsford town centre revamp scaled down by inflation,-0.14766615629196167,0.2667287588119507,0.41439491510391235,0.3188762962818146
BBC,2023-02-15,Inflation still a worry for NI consumer confidence,0.0015996620059013367,0.021762169897556305,0.020162507891654968,0.9580753445625305
BBC,2023-02-14,UK inflation: 'Every week counts' for chefs burnt by rising prices,-0.03581756353378296,0.01640925742685795,0.052226822823286057,0.9313639402389526
BBC,2023-02-14,UK inflation: Price rises slow but remain close to 40-year high,-0.10925169289112091,0.0277335736900568,0.13698525726795197,0.8352811336517334
BBC,2023-02-01,US inflation stays high as housing costs bite,-0.1591942459344864,0.13548320531845093,0.2946774363517761,0.5698392987251282
BBC,2023-01-31,Workers' pay: Typical pay rises fall far behind inflation in NI,0.12764790654182434,0.1766771525144577,0.049029238522052765,0.7742936015129089
BBC,2023-01-25,"Argentina unveils new 2,000-peso banknote as inflation bites",0.12005916237831116,0.18638084828853607,0.06632168591022491,0.7472975254058838
BBC,2023-01-20,Bank chief Andrew Bailey: 'We think inflation will fall rapidly',-0.016193293035030365,0.058422550559043884,0.07461584359407425,0.8669615983963013
BBC,2023-01-19,Fed announces smaller rate rise as inflation cools,-0.1519702523946762,0.02672228217124939,0.1786925345659256,0.7945852279663086
BBC,2023-01-18,Inflation blamed for raft of Isle of Man local authority rate hikes,-0.20495203137397766,0.04435261711478233,0.2493046373128891,0.7063426971435547
BBC,2023-02-01,Douglas Council puts projects on hold due to inflation,-0.7300369739532471,0.03315016254782677,0.763187050819397,0.2036627233028412
BBC,2023-01-13,Egyptians offered loans to buy books as inflation soars,-0.18102960288524628,0.038686078041791916,0.2197156846523285,0.7415982484817505
BBC,2023-02-02,Cost of living: Japan inflation jumps to new 41-year high,0.13304412364959717,0.5328859686851501,0.399841845035553,0.06727223843336105
BBC,2023-01-12,Bailey: Inflation 'likely to fall rapidly' this year,-0.022024545818567276,0.028531771153211594,0.05055631697177887,0.9209119081497192
BBC,2023-01-11,UK inflation drops but food keeps inflation high,0.20687898993492126,0.2880595326423645,0.08118054270744324,0.6307599544525146
BBC,2022-12-23,Inflation: Basic products like milk and cheese soar in price,-0.4910440146923065,0.04760671406984329,0.5386506915092468,0.4137425422668457
BBC,2022-12-21,"Pay rises at fastest pace for over 20 years, but below inflation",-0.11886683106422424,0.424220472574234,0.5430873036384583,0.03269222006201744
BBC,2022-12-16,Does easing US inflation point the way for the world?,-0.8107010126113892,0.0774039775133133,0.8881050944328308,0.03449099883437157
BBC,2022-12-14,CPI: US inflation falls to lowest in more than a year,-0.1789780557155609,0.04360368102788925,0.22258174419403076,0.7338145971298218
BBC,2022-12-14,Planned Stoke-on-Trent tenant rent rise 'less than inflation',-0.032047174870967865,0.04777343571186066,0.07982061058282852,0.8724059462547302
BBC,2022-12-14,Cost of living: Japan's inflation hits a 41-year high,0.09229456633329391,0.11021912842988968,0.01792456954717636,0.8718562722206116
BBC,2023-01-17,Funding approved for inflation-hit Melton Mowbray bypass plan,0.009603536687791348,0.03207270801067352,0.02246917225420475,0.9454580545425415
BBC,2022-12-13,Sunak on strikes: Best way to help workers is reducing inflation,-0.10057065635919571,0.047929685562849045,0.14850033819675446,0.8035699129104614
BBC,2022-12-05,Norbrook: Pharmaceutical firm blames inflation as profits fall,-0.7820359468460083,0.10282532125711441,0.8848612904548645,0.01231344323605299
BBC,2022-12-02,Is UK inflation going to keep falling?,-0.17240700125694275,0.024675734341144562,0.1970827430486679,0.7782415151596069
BBC,2023-01-20,Inflation eases to 10.7% but cost of a night out going up,0.07869350910186768,0.09793509542942047,0.019241593778133392,0.8828232884407043
BBC,2022-11-30,US inflation rate slows as fuel costs fall,-0.8066335320472717,0.024909673258662224,0.8315432071685791,0.14354711771011353
BBC,2022-11-17,Jersey care rates increased by 12% above inflation,0.04533204063773155,0.0886031910777092,0.043271150439977646,0.8681256771087646
BBC,2022-11-18,US jobs growth signals tough inflation fight ahead,0.17684265971183777,0.3740096092224121,0.19716696441173553,0.4288233518600464
BBC,2022-11-16,Coffee prices jump as food inflation hits new high,-0.09230309724807739,0.2850761115550995,0.3773792088031769,0.33754464983940125
BBC,2022-11-16,Gloucestershire firms raising prices due to inflation,0.8161948919296265,0.8655478954315186,0.049353037029504776,0.0850990042090416
BBC,2022-11-16,Ghana economy: Entrepreneurs struggle as cedi plunges and inflations rises,0.26165056228637695,0.5102643370628357,0.24861377477645874,0.24112188816070557
BBC,2022-11-15,When will UK inflation start to slow down?,0.005548778921365738,0.024119487032294273,0.018570708110928535,0.9573097825050354
BBC,2022-11-13,Milk and cheese drive food price inflation to 45-year high,0.7376097440719604,0.8196718096733093,0.08206208050251007,0.0982661023736
BBC,2022-11-04,Cost of living: Local supermarket boom as inflation jumps,-0.43014460802078247,0.03378438577055931,0.4639289975166321,0.5022866129875183
BBC,2022-11-02,As it happened: Coping with inflation: 'You can't cut back on nothing',0.12659764289855957,0.1999741941690445,0.07337655127048492,0.726649284362793
BBC,2022-11-11,Record wage rises still outpaced by soaring inflation,-0.5963050127029419,0.024403320625424385,0.6207083463668823,0.35488829016685486
BBC,2022-10-24,Inflation: a tax rise in drag,-0.706463098526001,0.04795191437005997,0.7544150352478027,0.19763308763504028
BBC,2022-10-21,Cost of living: Shares jump as US inflation cools,-0.8998494148254395,0.03112923540174961,0.9309785962104797,0.03789212554693222
BBC,2022-10-19,US jobs growth solid but slowing amid inflation fight,0.026729796081781387,0.0812196433544159,0.054489847272634506,0.8642904758453369
BBC,2022-10-21,Guernsey inflation rate highest for 30 years,-0.23663678765296936,0.08445235341787338,0.32108914852142334,0.5944585204124451
BBC,2022-10-19,Inflation: Why Canada grocers are accused of 'greedflation',-0.020223718136548996,0.04723489657044411,0.0674586147069931,0.8853064775466919
BBC,2022-10-19,Jersey inflation rates highest in 32 years,0.2041802853345871,0.2487620711326599,0.04458178952336311,0.7066561579704285
BBC,2022-10-13,Inflation: Warning eight million struggling to keep up with bills,-0.05326534062623978,0.026033073663711548,0.07929841428995132,0.8946685194969177
BBC,2022-10-07,People delay turning heating on as UK inflation soars,-0.0034451517276465893,0.02008221298456192,0.023527365177869797,0.9563905000686646
BBC,2022-10-06,Soaring food prices push inflation to 40-year high,-0.02863510325551033,0.08347219973802567,0.1121073067188263,0.804420530796051
BBC,2022-10-04,Triple lock: Liz Truss won't commit to raising pensions with inflation,0.49161064624786377,0.6150913834571838,0.12348072230815887,0.2614279091358185
BBC,2022-10-03,Why inflation is so high - and your other questions answered,0.006046140566468239,0.03421658277511597,0.028170442208647728,0.9376130104064941
BBC,2022-10-01,UK inflation hits 10.1% as millions worry for finances,0.12449336796998978,0.15001221001148224,0.025518840178847313,0.8244689702987671
BBC,2022-10-25,Andrew Bailey: Bank of England 'will not hesitate to raise rates' to meet inflation target,-0.8769662380218506,0.03069411776959896,0.9076603651046753,0.061645518988370895
BBC,2022-09-24,US inflation rises more than expected in September,0.04784791171550751,0.09878131002187729,0.05093340203166008,0.8502852320671082
BBC,2022-09-23,US jobs growth slows as policymakers fight inflation,-0.17998924851417542,0.27234649658203125,0.45233574509620667,0.27531781792640686
BBC,2022-09-21,Inflation in Turkey surges to 83%,-0.03673122078180313,0.07352132350206375,0.11025254428386688,0.8162261247634888
BBC,2022-12-05,Southampton: Transport plan scaled down due to 'inflation',-0.3375737965106964,0.3229818046092987,0.6605556011199951,0.016462573781609535
BBC,2022-09-21,US midterms: Inflation's got her thinking she'd 'vote Trump again',0.014621036127209663,0.03751816600561142,0.022897129878401756,0.9395847320556641
BBC,2022-09-15,Melton Mowbray bypass under threat from soaring inflation,-0.5616456866264343,0.03369952738285065,0.5953451991081238,0.37095528841018677
BBC,2022-09-08,Sri Lanka: Inflation rate jumps to 70.2% in August,-0.895633339881897,0.03399026766419411,0.9296236038208008,0.03638612478971481
BBC,2022-09-14,Fed rate hike: US interest rates hit 14-year high in inflation battle,-0.04657565802335739,0.021382365375757217,0.06795801967382431,0.9106595516204834
BBC,2022-08-29,Inflation could impact Bristol bus and rail projects,0.1501092165708542,0.18723613023757935,0.03712692856788635,0.7756369113922119
BBC,2022-08-25,US mortgage rates hit 14-year high as inflation soars,0.21336455643177032,0.26321661472320557,0.04985205456614494,0.6869313716888428
BBC,2022-11-16,"UK inflation: Milk, cheese and eggs push food price rises to 14-year high",0.26103076338768005,0.5339300632476807,0.2728992998600006,0.1931706666946411
BBC,2022-08-24,US markets sink on unexpectedly high inflation,0.01352008432149887,0.04004389047622681,0.026523806154727936,0.9334323406219482
BBC,2022-08-23,"Ros Atkins On… how inflation, Ukraine and drought are linked",0.4074244499206543,0.48171111941337585,0.07428666949272156,0.4440021812915802
BBC,2022-09-22,'Difficult decisions' as inflation increases Shropshire Council deficit,-0.032623957842588425,0.015768207609653473,0.0483921654522419,0.9358395934104919
BBC,2022-08-31,Newspaper headlines: NHS 'bills emergency' and 'new era of inflation',0.10795462876558304,0.1956048607826233,0.08765023201704025,0.7167449593544006
BBC,2022-08-22,Isle of Man ferry firm disputes claim fares fuelling inflation,0.6931490302085876,0.7525697946548462,0.05942074581980705,0.18800947070121765
BBC,2022-08-18,Inflation: Who is benefiting from soaring prices?,0.21773630380630493,0.2484058439731598,0.03066953644156456,0.7209246158599854
BBC,2022-08-17,Scotland's papers: 'Skyrocketing' inflation and 'keep rubbish inside',0.009540431201457977,0.07078466564416885,0.061244234442710876,0.8679710626602173
BBC,2022-08-17,Newspaper headlines: Spiralling inflation and refugee host cash plea,-0.574938178062439,0.09579929709434509,0.6707374453544617,0.23346325755119324
BBC,2022-08-17,Predicting peak inflation has been a mug's game,-0.28796887397766113,0.20190541446208954,0.4898742735385895,0.3082202970981598
BBC,2022-08-16,Manx inflation: Energy and transport costs push price rises to 14-year high,0.00620892271399498,0.02978968247771263,0.02358075976371765,0.9466295838356018
BBC,2022-08-15,The fear of inflation and what comes next,0.009160036221146584,0.018745919689536095,0.009585883468389511,0.9716682434082031
BBC,2022-08-14,UK inflation: Food costs push price rises to new 40-year high,0.033590953797101974,0.06446263939142227,0.030871685594320297,0.9046656489372253
BBC,2022-08-23,Cost of living latest: UK inflation hits 10.1% as food prices rocket,0.03715628385543823,0.4989580810070038,0.46180179715156555,0.03924010321497917
BBC,2022-08-22,"Five countries, five meals - tackling the food inflation crisis",-0.30131322145462036,0.23775579035282135,0.5390689969062805,0.22317522764205933
BBC,2022-08-09,Northern Ireland economy: Record inflation causes fall in demand,0.10293863713741302,0.11722614616155624,0.01428750529885292,0.8684863448143005
BBC,2022-07-22,"Rail fares in England to rise below inflation rate, ministers say",-0.5860762596130371,0.15544243156909943,0.7415186762809753,0.10303888469934464
BBC,2022-08-04,US inflation eases in July as petrol prices drop,-0.11141441762447357,0.020905228331685066,0.1323196440935135,0.8467751145362854
BBC,2022-09-14,John Lewis boss: Over-50s quitting the workforce fuels inflation,0.006856156513094902,0.02507413737475872,0.01821798086166382,0.9567078948020935
BBC,2022-07-28,Why are prices rising and what is the inflation rate in the US?,-0.5214520692825317,0.20101414620876312,0.722466230392456,0.07651963084936142
BBC,2022-07-26,Rishi Sunak: No hope of election win if inflation sticks,-0.7484826445579529,0.04633869603276253,0.7948213219642639,0.15883998572826385
BBC,2022-08-22,Scotland's papers: Gold rush for Team Scotland and 15% inflation warning,-0.035777732729911804,0.05055636912584305,0.08633410185575485,0.8631095290184021
BBC,2022-07-22,Cost of living: Inflation continues to hit NI consumer confidence,0.05842261016368866,0.13359776139259338,0.07517515122890472,0.7912271022796631
BBC,2022-07-21,Joe Manchin: What's in US Democrats' 'inflation-fighting' bill?,0.08047914505004883,0.10783224552869797,0.02735310047864914,0.8648146390914917
BBC,2022-08-12,Guernsey inflation at highest level since 1991,0.07509958744049072,0.271743506193161,0.1966439187526703,0.5316125154495239
BBC,2022-07-21,Zimbabwe launches gold coins to tackle soaring inflation,-0.2950355112552643,0.05879518762230873,0.3538306951522827,0.5873740911483765
BBC,2022-07-20,Jersey inflation rise sharpest in three decades,-0.7130210995674133,0.06744822859764099,0.7804693579673767,0.15208247303962708
BBC,2022-08-10,Council budgets in the West Midlands under pressure from inflation rise,-0.08882131427526474,0.021891385316848755,0.1107126995921135,0.8673959374427795
BBC,2022-08-08,Stoke-on-Trent City Council facing £12m shortfall due to inflation,0.05382862687110901,0.08505818247795105,0.031229563057422638,0.8837121725082397
BBC,2022-07-16,Inflation pushes UK government interest costs in June to fresh record,0.2265234738588333,0.2775324881076813,0.05100901424884796,0.6714584827423096
BBC,2022-08-06,"Inflation: Fuel, milk and eggs push prices up at fastest rate in 40 years",0.19835156202316284,0.22587980329990387,0.02752820774912834,0.7465920448303223
BBC,2022-06-23,Inflation: NI businesses raise prices as 9.4% inflation hits,-0.6210183501243591,0.028591595590114594,0.6496099233627319,0.32179850339889526
BBC,2022-06-22,Inflation latest: Inflation jumps to 9.4% as petrol pushes prices up,0.022183308377861977,0.039226680994033813,0.017043372616171837,0.9437299370765686
BBC,2022-07-20,Public sector pay: Police and most NHS staff get below-inflation rises,-0.06957186758518219,0.13706891238689423,0.20664077997207642,0.6562902927398682
BBC,2022-07-19,UK pay falls at fastest rate on record as inflation hits,0.039141930639743805,0.059846170246601105,0.0207042396068573,0.9194495677947998
BBC,2022-06-22,"Conservative Party leadership: I'd tackle inflation before cutting tax, says Sunak",0.026726488023996353,0.055082909762859344,0.02835642173886299,0.9165606498718262
BBC,2022-07-21,Bank of England vows to bring down inflation,0.018396098166704178,0.035193294286727905,0.016797196120023727,0.9480094909667969
BBC,2022-07-25,Food price inflation sees traders and charities struggle,0.4708417057991028,0.4988565444946289,0.028014829382300377,0.47312861680984497
BBC,2022-07-19,UK inflation rises at fastest rate for 40 years as food costs jump,0.014712538570165634,0.024938853457570076,0.010226314887404442,0.9648348689079285
BBC,2022-06-17,Cost of living: Inflation pressures squeezing food producers,0.07869841158390045,0.09240803122520447,0.013709625229239464,0.8938822746276855
BBC,2022-07-06,Global inflation: Five ways US rate rise will affect you,0.28679144382476807,0.4886995553970337,0.20190808176994324,0.30939245223999023
BBC,2022-05-19,'Hell on the way' as inflation expected to hit 11%,0.1281927227973938,0.1474665254354477,0.019273798912763596,0.8332597017288208
BBC,2022-04-25,Newspaper headlines: Warnings of 'pain ahead' with inflation to hit 11%,-0.03395937755703926,0.07511546462774277,0.10907483845949173,0.8158096671104431
BBC,2022-05-18,Why is inflation in the US so high?,0.017927557229995728,0.0986165925860405,0.08068903535604477,0.8206943869590759
BBC,2022-06-10,Energy and food drive US inflation to highest for 40 years,-0.007899313233792782,0.015847859904170036,0.023747172206640244,0.9604049324989319
BBC,2022-05-18,"Cost of living package will have minimal impact on inflation, says Rishi Sunak",0.015268109738826752,0.03996523097157478,0.024697119370102882,0.9353377223014832
BBC,2022-05-18,Should we worry about inflation?,0.5173113942146301,0.6076083183288574,0.0902969166636467,0.30209478735923767
BBC,2022-06-22,Newspaper headlines: Inflation fears of 'Tough times' and 'crime surge',0.015932941809296608,0.042604587972164154,0.026671646162867546,0.9307237863540649
BBC,2022-05-18,Rishi Sunak warns of tough few months as inflation soars,0.15730679035186768,0.18971161544322968,0.0324048213660717,0.7778835892677307
BBC,2022-06-19,UK inflation hits 40-year high of 9% as energy bills soar,0.005991633981466293,0.022226903587579727,0.016235269606113434,0.9615378379821777
